12:02:02  |  Platform  |  Info  |  * Initialise: RenderManager  |  /Volumes/Macintosh2/OgreJS/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  43
12:02:02  |  Platform  |  Info  |  RenderManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  71
12:02:02  |  Platform  |  Info  |  * Initialise: DataManager  |  /Volumes/Macintosh2/OgreJS/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  27
12:02:02  |  Platform  |  Info  |  DataManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  35
12:02:02  |  Core  |  Info  |  * Initialise: Gui  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  75
12:02:02  |  Core  |  Info  |  * MyGUI version 3.2.0.4305  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  82
12:02:02  |  Core  |  Info  |  * Initialise: ResourceManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  48
12:02:02  |  Core  |  Info  |  ResourceManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  56
12:02:02  |  Core  |  Info  |  * Initialise: LayerManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  49
12:02:02  |  Core  |  Info  |  LayerManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  57
12:02:02  |  Core  |  Info  |  * Initialise: WidgetManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  67
12:02:02  |  Core  |  Info  |  WidgetManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  98
12:02:02  |  Core  |  Info  |  * Initialise: InputManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  58
12:02:02  |  Core  |  Info  |  InputManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
12:02:02  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  49
12:02:02  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  69
12:02:02  |  Core  |  Info  |  * Initialise: SkinManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
12:02:02  |  Core  |  Info  |  SkinManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  61
12:02:02  |  Core  |  Info  |  * Initialise: FontManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  48
12:02:02  |  Core  |  Info  |  FontManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
12:02:02  |  Core  |  Info  |  * Initialise: ControllerManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  46
12:02:02  |  Core  |  Info  |  ControllerManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  56
12:02:02  |  Core  |  Info  |  * Initialise: PointerManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  60
12:02:02  |  Core  |  Info  |  PointerManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  78
12:02:02  |  Core  |  Info  |  * Initialise: ClipboardManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  87
12:02:02  |  Core  |  Info  |  ClipboardManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  101
